County_FIPS,County,State,Obesity-2019-Percentage,Limited Access to Healthy Foods-2019-Percent
08027,Custer County,Colorado,23.1,6.3059971221
08065,Lake County,Colorado,23.1,22.857409639
08093,Park County,Colorado,23.1,10.869415723
13119,Franklin County,Georgia,23.1,No Data
13149,Heard County,Georgia,23.1,1.1195521836
17041,Douglas County,Illinois,23.1,3.7038426614
20161,Riley County,Kansas,23.1,24.8941444
25003,Berkshire County,Massachusetts,23.1,6.012801394
26143,Roscommon County,Michigan,23.1,5.8865008553
30037,Golden Valley County,Montana,23.1,40.331492023
37059,Davie County,North Carolina,23.1,8.3854038638
37113,Macon County,North Carolina,23.1,3.4161120427
40069,Johnston County,Oklahoma,23.1,13.613339214
47127,Moore County,Tennessee,23.1,0.0540486487
48077,Clay County,Texas,23.1,20.571851465
48151,Fisher County,Texas,23.1,3.6718415837
48279,Lamb County,Texas,23.1,10.838988741
48463,Uvalde County,Texas,23.1,25.059906798
49001,Beaver County,Utah,23.1,4.2305091508
49009,Daggett County,Utah,23.1,15.384615365
50001,Addison County,Vermont,23.1,1.51469455
06061,Placer County,California,23.2,5.1065319918
06079,San Luis Obispo County,California,23.2,4.0541898322
06109,Tuolumne County,California,23.2,6.160719002
08021,Conejos County,Colorado,23.2,3.2568024256
08095,Phillips County,Colorado,23.2,1.6336493915
13011,Banks County,Georgia,23.2,0.8716861775
13049,Charlton County,Georgia,23.2,3.1613532684
13191,Mcintosh County,Georgia,23.2,5.9309803751
13231,Pike County,Georgia,23.2,0.0051705298
16033,Clark County,Idaho,23.2,50.696378939
17005,Bond County,Illinois,23.2,9.041243828
17125,Mason County,Illinois,23.2,13.24330336
17165,Saline County,Illinois,23.2,6.4578285093
20097,Kiowa County,Kansas,23.2,13.153391584
22059,Lasalle Parish,Louisiana,23.2,12.110760349
25015,Hampshire County,Massachusetts,23.2,12.495694824
26129,Ogemaw County,Michigan,23.2,0.0236508436
28097,Montgomery County,Mississippi,23.2,10.000976494
30039,Granite County,Montana,23.2,33.820613488
30097,Sweet Grass County,Montana,23.2,5.1040948841
37055,Dare County,North Carolina,23.2,8.5060031982
37137,Pamlico County,North Carolina,23.2,3.4715932668
41025,Harney County,Oregon,23.2,12.544918124
41057,Tillamook County,Oregon,23.2,0.8077503542
46125,Turner County,South Dakota,23.2,0.7588469201
48165,Gaines County,Texas,23.2,1.3771733158
48371,Pecos County,Texas,23.2,19.115379683
48429,Stephens County,Texas,23.2,13.473399591
48433,Stonewall County,Texas,23.2,4.848035073
48465,Val Verde County,Texas,23.2,21.594162259
08025,Crowley County,Colorado,23.3,0.5715181498
08033,Dolores County,Colorado,23.3,37.309712791
08041,El Paso County,Colorado,23.3,6.4522552798
12099,Palm Beach County,Florida,23.3,4.1301447841
13003,Atkinson County,Georgia,23.3,14.950574231
13111,Fannin County,Georgia,23.3,0.4166368397
13181,Lincoln County,Georgia,23.3,1.8860002911
13321,Worth County,Georgia,23.3,1.0400150637
17109,Mcdonough County,Illinois,23.3,9.8259858564
17173,Shelby County,Illinois,23.3,5.9708876093
20201,Washington County,Kansas,23.3,15.491259555
22041,Franklin Parish,Louisiana,23.3,13.032849081
23005,Cumberland County,Maine,23.3,3.5127265914
29227,Worth County,Missouri,23.3,5.3256859732
37111,Mcdowell County,North Carolina,23.3,1.2794264849
37199,Yancey County,North Carolina,23.3,0.5680529364
38047,Logan County,North Dakota,23.3,26.133687997
40045,Ellis County,Oklahoma,23.3,13.647680722
40057,Harmon County,Oklahoma,23.3,2.0508931725
42061,Huntingdon County,Pennsylvania,23.3,0.4651855058
48179,Gray County,Texas,23.3,8.4917982756
48219,Hockley County,Texas,23.3,15.45078212
48351,Newton County,Texas,23.3,14.126061757
48487,Wilbarger County,Texas,23.3,15.591786043
55091,Pepin County,Wisconsin,23.3,No Data
01079,Lawrence County,Alabama,23.4,5.3540348345
05073,Lafayette County,Arkansas,23.4,11.357702636
06051,Mono County,California,23.4,17.237467154
08017,Cheyenne County,Colorado,23.4,8.9192835242
08055,Huerfano County,Colorado,23.4,11.972298402
08115,Sedgwick County,Colorado,23.4,5.0302340383
17035,Cumberland County,Illinois,23.4,0.1449168482
17053,Ford County,Illinois,23.4,7.7705395906
17065,Hamilton County,Illinois,23.4,3.3775297288
20119,Meade County,Kansas,23.4,16.495173703
25019,Nantucket County,Massachusetts,23.4,2.8491756949
26071,Iron County,Michigan,23.4,5.788461815
35033,Mora County,New Mexico,23.4,59.960352564
36109,Tompkins County,New York,23.4,5.4483115273
37007,Anson County,North Carolina,23.4,4.6267575376
37039,Cherokee County,North Carolina,23.4,3.1824514111
46117,Stanley County,South Dakota,23.4,4.7468602634
48019,Bandera County,Texas,23.4,10.238088238
48197,Hardeman County,Texas,23.4,7.8109149745
48273,Kleberg County,Texas,23.4,17.355734775
48477,Washington County,Texas,23.4,7.2772156778
50013,Grand Isle County,Vermont,23.4,0.4448035957
54021,Gilmer County,West Virginia,23.4,31.086528713
02070,Dillingham Census Area,Alaska,23.5,31.466434246
