County_FIPS,County,State,Obesity-2021-Percentage,Enrolled in Free or Reduced Lunch-2020-2021-Percent
46059,Hand County,South Dakota,19.6,16.07565011820331
48051,Burleson County,Texas,19.6,60.88397790055249
48489,Willacy County,Texas,19.6,86.08247422680412
51091,Highland County,Virginia,19.6,No Data
26153,Schoolcraft County,Michigan,19.7,55.6657223796034
30075,Powder River County,Montana,19.7,No Data
01059,Franklin County,Alabama,19.8,55.491897200851206
02282,Yakutat City and Borough,Alaska,19.8,No Data
13005,Bacon County,Georgia,19.8,73.2787674530573
13007,Baker County,Georgia,19.8,100
13011,Banks County,Georgia,19.8,54.79274611398963
13141,Hancock County,Georgia,19.8,100
17077,Jackson County,Illinois,19.8,No Data
26053,Gogebic County,Michigan,19.8,57.12392312789927
46123,Tripp County,South Dakota,19.8,43.84017758046615
48053,Burnet County,Texas,19.8,60.96783139212424
48147,Fannin County,Texas,19.8,53.68036529680366
48305,Lynn County,Texas,19.8,51.52647975077882
06005,Amador County,California,19.9,41.741587464680194
06081,San Mateo County,California,19.9,31.137926385330992
08093,Park County,Colorado,19.9,29.888475836431226
13319,Wilkinson County,Georgia,19.9,89.18685121107266
17121,Marion County,Illinois,19.9,No Data
17165,Saline County,Illinois,19.9,No Data
30033,Garfield County,Montana,19.9,No Data
42023,Cameron County,Pennsylvania,19.9,32.369942196531795
46009,Bon Homme County,South Dakota,19.9,30.761904761904763
47137,Pickett County,Tennessee,19.9,No Data
48351,Newton County,Texas,19.9,71.33182844243792
13221,Oglethorpe County,Georgia,20,57.658079625292736
17103,Lee County,Illinois,20,No Data
17203,Woodford County,Illinois,20,No Data
32015,Lander County,Nevada,20,42.450980392156865
37135,Orange County,North Carolina,20,27.126315789473683
40107,Okfuskee County,Oklahoma,20,72.32597623089984
48287,Lee County,Texas,20,62.43467568398402
51103,Lancaster County,Virginia,20,No Data
37117,Martin County,North Carolina,20.1,98.97400820793433
41027,Hood River County,Oregon,20.1,No Data
47067,Hancock County,Tennessee,20.1,No Data
48337,Montague County,Texas,20.1,53.8056206088993
51013,Arlington County,Virginia,20.1,No Data
51017,Bath County,Virginia,20.1,No Data
51021,Bland County,Virginia,20.1,No Data
17033,Crawford County,Illinois,20.2,No Data
17105,Livingston County,Illinois,20.2,No Data
47091,Johnson County,Tennessee,20.2,No Data
48037,Bowie County,Texas,20.2,60.724991673143116
48291,Liberty County,Texas,20.2,77.03915573527962
51043,Clarke County,Virginia,20.2,No Data
51063,Floyd County,Virginia,20.2,No Data
17125,Mason County,Illinois,20.3,No Data
18161,Union County,Indiana,20.3,50.26615969581749
21169,Metcalfe County,Kentucky,20.3,72.9067392784207
22043,Grant Parish,Louisiana,20.3,69.2518874399451
30059,Meagher County,Montana,20.3,No Data
