County_FIPS,County,State,Obesity-2019-Percentage,Access to Exercise Opportunities-2020 & 2022-Percent
48311,Mcmullen County,Texas,22.4,15.1666666666667
48327,Menard County,Texas,22.4,77.72680937818551
48369,Parmer County,Texas,22.4,17.3371162225149
48387,Red River County,Texas,22.4,32.1912488133253
48443,Terrell County,Texas,22.4,0.2631578947368
48495,Winkler County,Texas,22.4,97.7281478629188
49033,Rich County,Utah,22.4,45.2589641434263
55063,La Crosse County,Wisconsin,22.4,86.0089084646973
02158,Kusilvak Census Area,Alaska,22.5,99.9760994263862
06049,Modoc County,California,22.5,54.620689655172406
13105,Elbert County,Georgia,22.5,49.0146152670978
13237,Putnam County,Georgia,22.5,72.7491268653331
13283,Treutlen County,Georgia,22.5,62.8941617233843
17129,Menard County,Illinois,22.5,71.3263397576645
17151,Pope County,Illinois,22.5,97.7145894233324
17155,Putnam County,Illinois,22.5,22.9022529714387
20075,Hamilton County,Kansas,22.5,83.0420969023034
20129,Morton County,Kansas,22.5,88.7078859681599
22025,Catahoula Parish,Louisiana,22.5,15.3716595553559
25001,Barnstable County,Massachusetts,22.5,92.8548970287691
27125,Red Lake County,Minnesota,22.5,54.28208386277
31007,Banner County,Nebraska,22.5,5.0445103857567
32017,Lincoln County,Nevada,22.5,31.9182040453434
35021,Harding County,New Mexico,22.5,1.2176560121766
35059,Union County,New Mexico,22.5,59.4998774209365
48211,Hemphill County,Texas,22.5,82.9982259018332
48217,Hill County,Texas,22.5,50.4264927245359
48229,Hudspeth County,Texas,22.5,0.0312304809494
48393,Roberts County,Texas,22.5,0.9673518742443
48417,Shackelford County,Texas,22.5,78.26086956521739
53033,King County,Washington,22.5,97.9656999350127
55129,Washburn County,Wisconsin,22.5,67.8577874029959
06013,Contra Costa County,California,22.6,98.2413135642283
08053,Hinsdale County,Colorado,22.6,35.025380710659896
13209,Montgomery County,Georgia,22.6,No Data
13225,Peach County,Georgia,22.6,69.24341517458281
13267,Tattnall County,Georgia,22.6,51.357149111286205
