County_FIPS,County,State,Obesity-2019-Percentage,Commute ≥ 60 minutes-2017-2021-Percent
05129,Searcy County,Arkansas,23.6,9.3
17085,Jo Daviess County,Illinois,23.6,5.3
17133,Monroe County,Illinois,23.6,7.4
17193,White County,Illinois,23.6,9.6
27031,Cook County,Minnesota,23.6,3.8
30011,Carter County,Montana,23.6,1.8
30089,Sanders County,Montana,23.6,9.3
36119,Westchester County,New York,23.6,21.1
37123,Montgomery County,North Carolina,23.6,7.2
49031,Piute County,Utah,23.6,5.5
51033,Caroline County,Virginia,23.6,15.1
51091,Highland County,Virginia,23.6,15.2
51510,Alexandria City,Virginia,23.6,9.6
51790,Staunton City,Virginia,23.6,4.4
53007,Chelan County,Washington,23.6,4.4
55061,Kewaunee County,Wisconsin,23.6,4.1
05011,Bradley County,Arkansas,23.7,9.6
08103,Rio Blanco County,Colorado,23.7,8.4
08109,Saguache County,Colorado,23.7,3.4
13189,Mcduffie County,Georgia,23.7,4.3
16021,Boundary County,Idaho,23.7,9.2
16073,Owyhee County,Idaho,23.7,12.5
17061,Greene County,Illinois,23.7,19.2
17079,Jasper County,Illinois,23.7,8.4
17145,Perry County,Illinois,23.7,7.3
20019,Chautauqua County,Kansas,23.7,5.5
21039,Carlisle County,Kentucky,23.7,6.3
22021,Caldwell Parish,Louisiana,23.7,9.7
30069,Petroleum County,Montana,23.7,6.5
37065,Edgecombe County,North Carolina,23.7,6.3
44009,Washington County,Rhode Island,23.7,7.4
46025,Clark County,South Dakota,23.7,3.9
47027,Clay County,Tennessee,23.7,10.9
47081,Hickman County,Tennessee,23.7,19.2
01059,Franklin County,Alabama,23.8,7.7
02050,Bethel Census Area,Alaska,23.8,0.2
05013,Calhoun County,Arkansas,23.8,2.7
06001,Alameda County,California,23.8,17.1
13053,Chattahoochee County,Georgia,23.8,0.3
17189,Washington County,Illinois,23.8,10
17191,Wayne County,Illinois,23.8,6.9
20137,Norton County,Kansas,23.8,2.8
22123,West Carroll Parish,Louisiana,23.8,5.6
27087,Mahnomen County,Minnesota,23.8,4.6
29109,Lawrence County,Missouri,23.8,7.3
